2022-02-13 19:31:15 | root | DEBUG | WOL packet has been sent to desktop
2022-02-13 19:31:18 | root | DEBUG | WOL packet has been sent to desktop
2022-02-13 19:31:20 | root | DEBUG | WOL packet has been sent to desktop
2022-02-13 19:31:22 | root | DEBUG | WOL packet has been sent to desktop
2022-02-13 19:31:46 | root | DEBUG | WOL packet has been sent to desktop
2022-02-13 19:34:31 | root | DEBUG | WOL packet has been sent to desktop
2022-02-13 19:35:32 | root | DEBUG | WOL packet has been sent to desktop
2022-02-26 22:05:40 | root | ERROR | remote-task.py: not found provided hostname in database
2022-02-26 22:06:14 | root | ERROR | remote-task.py: not found provided hostname in database
2022-02-26 22:22:40 | root | ERROR | ssh_user is NULL for this record 
2022-02-26 22:24:04 | root | ERROR | ssh_user is NULL for this record 
2022-02-26 22:25:01 | root | ERROR | laptop-redge has NULL record in "ssh_user"
2022-02-26 22:25:48 | root | ERROR | "laptop-redge" has NULL value in "ssh_user"
2022-02-26 22:27:10 | root | ERROR | not found "ladasdptop-redge" in database
2022-02-26 22:27:22 | root | ERROR | not found host with name "ladasdptop-redge" in database
2022-02-26 22:45:03 | root | DEBUG | WOL packet has been sent to desktop
2022-02-26 22:45:15 | root | ERROR | not found host with name "sleep" in database
2022-02-26 22:45:51 | root | DEBUG | desktop has been asleep; ssh_user: karol.siedlaczek
2022-02-26 23:19:00 | root | ERROR | not found hostname "desktopDD" in database
